id_chamado,data_abertura,data_fechamento,categoria,bairro,descricao,status,prioridade,origem,responsavel,custo_estimado,tempo_resposta_horas,latitude,longitude,avaliacao_cidadao,reincidente,observacao
1,2026-01-29 00:47:00,2026-01-31 16:47:00,Coleta de Lixo,Dirceu,Solicitação referente a coleta de lixo registrada pelo cidadão.,Resolvido,,App,Mariana Costa,6281.09,8.8,-5.163743,,4,None,Priorizar por proximidade de escola
2,2026-04-19 10:17:00,,Ruído Urbano,Renascença,Solicitação referente a ruído urbano registrada pelo cidadão.,Em análise,,,Equipe Norte,940.61,33.3,-5.160875,-42.798927,2,None,Morador não atendeu contato
3,2026-01-18 01:42:00,,Iluminação Pública,Mocambinho,Solicitação referente a iluminação pública registrada pelo cidadão.,Em análise,Média,,None,7375.79,80.2,-5.095393,-42.752561,2,None,
4,2026-03-11 20:44:00,,Buraco na Via,Centro,Solicitação referente a buraco na via registrada pelo cidadão.,None,Média,Sensor IoT,None,,30.6,-5.125694,-42.69256,None,,
5,2026-05-30 12:23:00,,Coleta de Lixo,None,Solicitação referente a coleta de lixo registrada pelo cidadão.,Em análise,Baixa,Telefone,Equipe Sul,4235.4,15.1,-5.027099,-42.76879,None,None,Morador não atendeu contato
6,2026-03-29 03:18:00,,Iluminação Pública,Jóquei,Solicitação referente a iluminação pública registrada pelo cidadão.,Cancelado,,,,8263.3,10.7,-4.993249,-42.788314,3,None,None
7,2026-01-05 03:59:00,2026-01-14 13:59:00,Ruído Urbano,Jóquei,Solicitação referente a ruído urbano registrada pelo cidadão.,Resolvido,Crítica,WhatsApp,Equipe Norte,2096.19,8.0,-4.998635,-42.684843,None,None,Registro duplicado identificado
8,2026-03-21 12:42:00,,Alagamento,,Solicitação referente a alagamento registrada pelo cidadão.,,Crítica,WhatsApp,Mariana Costa,1098.86,56.7,-5.123754,-42.884382,1,,Aguardando vistoria técnica
9,2026-05-27 18:30:00,,Ruído Urbano,Santa Maria,Solicitação referente a ruído urbano registrada pelo cidadão.,Em análise,Baixa,WhatsApp,Equipe Norte,,41.7,-5.071925,-42.739603,2,True,Priorizar por proximidade de escola
10,2026-02-18 17:28:00,,Buraco na Via,,Solicitação referente a buraco na via registrada pelo cidadão.,Em análise,Crítica,App,Mariana Costa,2183.37,82.8,-5.159376,-42.680158,4,False,Priorizar por proximidade de escola
